GEOID10,records,geometry
060730051002025,85,"POLYGON ((-117.157205 32.705669, -117.156999 32.705526, -117.155982 32.706424, -117.155946 32.706497, -117.155777 32.706357, -117.15577 32.706353, -117.155699 32.706313, -117.155609 32.706282, -117.15552 32.706267, -117.155105 32.706266, -117.154878 32.706266, -117.154829 32.706265, -117.154685 32.706265, -117.154637 32.706265, -117.154505 32.706265, -117.154112 32.706266, -117.153981 32.706269, -117.153943 32.706228, -117.153829 32.706107, -117.153791 32.706067, -117.153674 32.706001, -117.153324 32.705804, -117.153208 32.705739, -117.153558 32.705632, -117.153673 32.705598, -117.154609 32.705312, -117.15496 32.705207, -117.155156 32.705207, -117.155745 32.705207, -117.155942 32.705208, -117.156007 32.705208, -117.156105 32.705213, -117.156236 32.70522, -117.156464 32.705249, -117.15659 32.705274, -117.156658 32.705288, -117.156749 32.705315, -117.156831 32.705339, -117.156855 32.705347, -117.157035 32.705408, -117.157074 32.705426, -117.157152 32.705464, -117.157205 32.705669))"
060730051002026,13,"POLYGON ((-117.157205 32.705669, -117.157235 32.705784, -117.157349 32.706253, -117.156448 32.706406, -117.155946 32.706497, -117.155982 32.706424, -117.156999 32.705526, -117.157205 32.705669))"
060730051002030,64,"POLYGON ((-117.152677 32.706072, -117.152802 32.706161, -117.152794 32.706269, -117.152608 32.706271, -117.152053 32.706277, -117.151868 32.706281, -117.151874 32.706106, -117.151894 32.705581, -117.151901 32.705407, -117.152677 32.706072))"
060730051002031,522,"POLYGON ((-117.150341 32.705731, -117.150341 32.705447, -117.150342 32.70524, -117.150342 32.705236, -117.150342 32.705226, -117.150342 32.705223, -117.150573 32.705222, -117.151269 32.705226, -117.151501 32.705227, -117.151532 32.705227, -117.151625 32.705227, -117.151656 32.705227, -117.151674 32.705241, -117.151704 32.705263, -117.151851 32.705371, -117.151901 32.705407, -117.151894 32.705581, -117.151874 32.706106, -117.151868 32.706281, -117.151564 32.70628, -117.150653 32.706277, -117.15035 32.706278, -117.150346 32.706069, -117.150341 32.705731))"
060730051002032,98,"POLYGON ((-117.150342 32.70524, -117.150341 32.705447, -117.150341 32.705731, -117.150346 32.706069, -117.15035 32.706278, -117.150166 32.706276, -117.149614 32.70627, -117.14943 32.706269, -117.14943 32.706063, -117.149431 32.705449, -117.149432 32.705244, -117.149432 32.705239, -117.149432 32.705225, -117.149432 32.705221, -117.149614 32.705221, -117.150159 32.705222, -117.150342 32.705223, -117.150342 32.705226, -117.150342 32.705236, -117.150342 32.70524))"
060730051002033,141,"POLYGON ((-117.148532 32.705236, -117.148712 32.705233, -117.149252 32.705224, -117.149432 32.705221, -117.149432 32.705225, -117.149432 32.705239, -117.149432 32.705244, -117.149431 32.705449, -117.14943 32.706063, -117.14943 32.706269, -117.149248 32.706268, -117.148704 32.706266, -117.148523 32.706267, -117.148524 32.706063, -117.14853 32.705454, -117.148532 32.705251, -117.148532 32.705247, -117.148532 32.705239, -117.148532 32.705236))"
060730051002034,166,"POLYGON ((-117.14757 32.705235, -117.147762 32.705235, -117.148339 32.705235, -117.148532 32.705236, -117.148532 32.705239, -117.148532 32.705247, -117.148532 32.705251, -117.14853 32.705454, -117.148524 32.706063, -117.148523 32.706267, -117.148364 32.706268, -117.147888 32.706271, -117.14773 32.706273, -117.147715 32.706066, -117.147708 32.705967, -117.147666 32.705667, -117.147622 32.705452, -117.147611 32.705396, -117.147574 32.705251, -117.147573 32.705247, -117.14757 32.705238, -117.14757 32.705235))"
060730051002035,6,"POLYGON ((-117.148527 32.704799, -117.14853 32.705076, -117.148532 32.705236, -117.148339 32.705235, -117.147762 32.705235, -117.14757 32.705235, -117.147545 32.705171, -117.147505 32.705065, -117.147463 32.704988, -117.147432 32.704929, -117.147425 32.704915, -117.147405 32.704886, -117.147336 32.704783, -117.147319 32.704762, -117.147288 32.704723, -117.147026 32.704255, -117.146877 32.703987, -117.146772 32.703831, -117.146236 32.703208, -117.1462 32.703184, -117.146006 32.703031, -117.145934 32.702974, -117.145882 32.702941, -117.145852 32.702909, -117.145829 32.702858, -117.145824 32.702817, -117.145831 32.702776, -117.145856 32.702728, -117.145966 32.702633, -117.146297 32.702863, -117.147291 32.703553, -117.147623 32.703783, -117.147803 32.703913, -117.148343 32.704304, -117.148524 32.704436, -117.148525 32.704596, -117.148527 32.704799))"
060730051002036,9,"POLYGON ((-117.148532 32.705236, -117.14853 32.705076, -117.148527 32.704799, -117.148525 32.704596, -117.148524 32.704436, -117.148704 32.704554, -117.149211 32.704888, -117.149241 32.704903, -117.149246 32.704906, -117.149304 32.704946, -117.149357 32.704997, -117.149398 32.705057, -117.14941 32.705086, -117.14941 32.705088, -117.149428 32.705153, -117.14943 32.705187, -117.149432 32.705221, -117.149252 32.705224, -117.148712 32.705233, -117.148532 32.705236))"
060730051002037,11,"POLYGON ((-117.149398 32.705057, -117.149389 32.704975, -117.149397 32.704893, -117.149419 32.704822, -117.149423 32.704813, -117.149456 32.704751, -117.149473 32.704726, -117.149659 32.70453, -117.149896 32.704292, -117.150065 32.704123, -117.150383 32.704343, -117.151337 32.705005, -117.151656 32.705227, -117.151625 32.705227, -117.151532 32.705227, -117.151501 32.705227, -117.151269 32.705226, -117.150573 32.705222, -117.150342 32.705223, -117.150159 32.705222, -117.149614 32.705221, -117.149432 32.705221, -117.14943 32.705187, -117.149428 32.705153, -117.14941 32.705088, -117.14941 32.705086, -117.149398 32.705057))"
060730051002040,2,"POLYGON ((-117.151656 32.705227, -117.151883 32.705229, -117.152566 32.705236, -117.152658 32.705237, -117.152791 32.705225, -117.152786 32.705238, -117.152795 32.705302, -117.152797 32.705396, -117.152798 32.705429, -117.152618 32.705424, -117.15208 32.70541, -117.151901 32.705407, -117.151851 32.705371, -117.151704 32.705263, -117.151674 32.705241, -117.151656 32.705227))"
060730051002041,5,"POLYGON ((-117.153047 32.702785, -117.153102 32.702568, -117.153119 32.702504, -117.152961 32.702316, -117.152798 32.702, -117.152696 32.701803, -117.15276 32.701844, -117.153211 32.702146, -117.153308 32.702209, -117.153544 32.702363, -117.155152 32.703417, -117.155767 32.70382, -117.156032 32.70416, -117.156141 32.7043, -117.156978 32.705039, -117.157302 32.705327, -117.157271 32.705354, -117.157181 32.705436, -117.157152 32.705464, -117.157074 32.705426, -117.157035 32.705408, -117.156855 32.705347, -117.156831 32.705339, -117.156749 32.705315, -117.156008 32.704808, -117.153787 32.70329, -117.153047 32.702785))"
060730051002042,20,"POLYGON ((-117.155767 32.70382, -117.156141 32.70406, -117.157263 32.70478, -117.157638 32.705021, -117.15757 32.705081, -117.157368 32.705264, -117.157302 32.705327, -117.156978 32.705039, -117.156141 32.7043, -117.156032 32.70416, -117.155767 32.70382))"
060730051002068,7,"POLYGON ((-117.152802 32.706161, -117.152677 32.706072, -117.151901 32.705407, -117.15208 32.70541, -117.152618 32.705424, -117.152798 32.705429, -117.152798 32.705431, -117.152805 32.705692, -117.152804 32.705841, -117.152802 32.706161))"
060730052001010,12,"POLYGON ((-117.147999 32.715767, -117.148231 32.715764, -117.148314 32.715765, -117.148366 32.715764, -117.148524 32.715763, -117.148577 32.715763, -117.148579 32.715973, -117.148585 32.716603, -117.148588 32.716815, -117.148513 32.716814, -117.148291 32.716811, -117.148217 32.716812, -117.148149 32.716811, -117.147945 32.71681, -117.147878 32.71681, -117.14786 32.71681, -117.147806 32.71681, -117.147788 32.71681, -117.147788 32.716651, -117.147789 32.716174, -117.14779 32.716016, -117.14779 32.715966, -117.14779 32.715815, -117.147791 32.715766, -117.147812 32.715766, -117.147878 32.715766, -117.1479 32.715767, -117.147982 32.715767, -117.147999 32.715767))"
060730052001011,11,"POLYGON ((-117.148577 32.715763, -117.148759 32.715761, -117.149305 32.715757, -117.149488 32.715756, -117.149488 32.715967, -117.149491 32.716603, -117.149492 32.716817, -117.149311 32.716816, -117.148768 32.716814, -117.148588 32.716815, -117.148585 32.716603, -117.148579 32.715973, -117.148577 32.715763))"
060730052001012,20,"POLYGON ((-117.149488 32.715756, -117.149671 32.715755, -117.150224 32.715752, -117.150408 32.715752, -117.15041 32.715963, -117.150416 32.716594, -117.150418 32.716807, -117.150232 32.716808, -117.149677 32.716814, -117.149492 32.716817, -117.149491 32.716603, -117.149488 32.715967, -117.149488 32.715756))"
060730052001013,28,"POLYGON ((-117.151969 32.716414, -117.15197 32.716583, -117.151972 32.716793, -117.151661 32.716794, -117.150728 32.716803, -117.150418 32.716807, -117.150416 32.716594, -117.15041 32.715963, -117.150408 32.715752, -117.150719 32.715749, -117.151653 32.715744, -117.151965 32.715743, -117.151966 32.715953, -117.151969 32.716414))"
060730052001014,12,"POLYGON ((-117.151969 32.716414, -117.152872 32.716405, -117.152872 32.716575, -117.152873 32.716784, -117.152692 32.716785, -117.152152 32.71679, -117.151972 32.716793, -117.15197 32.716583, -117.151969 32.716414))"
060730052001015,64,"POLYGON ((-117.152872 32.716405, -117.151969 32.716414, -117.151966 32.715953, -117.151965 32.715743, -117.152145 32.715741, -117.152688 32.715739, -117.152869 32.71574, -117.152869 32.715947, -117.152872 32.716405))"
060730052001016,41,"POLYGON ((-117.151958 32.714707, -117.152139 32.714705, -117.152683 32.714703, -117.152865 32.714703, -117.152865 32.71491, -117.152868 32.715532, -117.152869 32.71574, -117.152688 32.715739, -117.152145 32.715741, -117.151965 32.715743, -117.151963 32.715535, -117.151959 32.714914, -117.151958 32.714707))"
060730052001017,54,"POLYGON ((-117.1504 32.714713, -117.150711 32.714711, -117.151646 32.714708, -117.151958 32.714707, -117.151959 32.714914, -117.151963 32.715535, -117.151965 32.715743, -117.151653 32.715744, -117.150719 32.715749, -117.150408 32.715752, -117.150406 32.715544, -117.150401 32.71492, -117.1504 32.714713))"
060730052001018,514,"POLYGON ((-117.14948 32.714717, -117.149663 32.714716, -117.150216 32.714713, -117.1504 32.714713, -117.150401 32.71492, -117.150406 32.715544, -117.150408 32.715752, -117.150224 32.715752, -117.149671 32.715755, -117.149488 32.715756, -117.149486 32.715548, -117.149481 32.714924, -117.14948 32.714717))"
060730052001019,172,"POLYGON ((-117.14857 32.714702, -117.148752 32.714705, -117.149298 32.714714, -117.14948 32.714717, -117.149481 32.714924, -117.149486 32.715548, -117.149488 32.715756, -117.149305 32.715757, -117.148759 32.715761, -117.148577 32.715763, -117.148575 32.71555, -117.148571 32.714914, -117.14857 32.714702))"
060730052001020,11,"POLYGON ((-117.148142 32.714741, -117.148121 32.714703, -117.148061 32.714593, -117.148042 32.714557, -117.147993 32.714483, -117.147947 32.714413, -117.147838 32.714277, -117.147833 32.714272, -117.147775 32.714207, -117.147774 32.714162, -117.147772 32.714027, -117.147772 32.713982, -117.147771 32.713921, -117.147769 32.713742, -117.147769 32.713682, -117.14782 32.713682, -117.147974 32.713682, -117.148026 32.713683, -117.148119 32.713683, -117.148398 32.713683, -117.148491 32.713683, -117.148491 32.71383, -117.148493 32.714111, -117.148494 32.714272, -117.148496 32.71442, -117.148496 32.714481, -117.148497 32.714603, -117.148517 32.714651, -117.148525 32.714658, -117.14855 32.714687, -117.14857 32.714702, -117.148571 32.714914, -117.148575 32.71555, -117.148577 32.715763, -117.148524 32.715763, -117.148366 32.715764, -117.148314 32.715765, -117.148328 32.715586, -117.148327 32.715555, -117.148322 32.715394, -117.148301 32.71523, -117.148261 32.715055, -117.148221 32.714934, -117.148208 32.714896, -117.148142 32.714741))"
060730052001024,54,"POLYGON ((-117.147769 32.713682, -117.147764 32.713496, -117.147749 32.712941, -117.147744 32.712756, -117.147776 32.71275, -117.147876 32.712733, -117.147909 32.712728, -117.148036 32.712705, -117.148416 32.712644, -117.148416 32.712643, -117.148545 32.712632, -117.148547 32.71284, -117.148553 32.713472, -117.148556 32.713682, -117.148543 32.713682, -117.148503 32.713682, -117.148491 32.713683, -117.148398 32.713683, -117.148119 32.713683, -117.148026 32.713683, -117.147974 32.713682, -117.14782 32.713682, -117.147769 32.713682))"
