,index,stop_lon,stop_lat,geometry,density
57,1267,-117.16117502958201,32.717253341661,POINT (-117.161175029582 32.717253341661),0.009519648681425462
58,1269,-117.161242989714,32.726971587583996,POINT (-117.161242989714 32.726971587584),0.0
59,1274,-117.155631907255,32.713487478073,POINT (-117.155631907255 32.713487478073),0.009840535715630814
60,1275,-117.15569070820699,32.718577292356,POINT (-117.155690708207 32.718577292356),0.004757564572866214
61,1276,-117.155601726134,32.710233460697,POINT (-117.155601726134 32.710233460697),0.009447336110336931
62,1278,-117.15386711033001,32.718299327581,POINT (-117.15386711033 32.718299327581),0.0031455968423510627
63,1280,-117.15076949137199,32.725385666012,POINT (-117.150769491372 32.725385666012),0.0
64,1283,-117.14861370672001,32.727300612183,POINT (-117.14861370672 32.727300612183),0.0
65,1488,-117.173257517578,32.717009569928,POINT (-117.173257517578 32.717009569928),0.00034951076026122917
66,1489,-117.17322517237301,32.725095950294,POINT (-117.173225172373 32.725095950294),0.0
67,1494,-117.168159376845,32.722302790964996,POINT (-117.168159376845 32.722302790965),0.0011223513637698954
68,1496,-117.163729352696,32.719647640602005,POINT (-117.163729352696 32.71964764060201),0.008709145280474853
69,1499,-117.163739501691,32.725958156627,POINT (-117.163739501691 32.725958156627),3.314326174890966e-05
70,1506,-117.16006200883699,32.712740253986,POINT (-117.160062008837 32.712740253986),0.009858613858402946
71,1507,-117.16007882837098,32.715628817951,POINT (-117.160078828371 32.715628817951),0.010619402366730191
72,1508,-117.160099508626,32.72392917849,POINT (-117.160099508626 32.72392917849),0.0007517494369411782
73,1513,-117.16003326609501,32.716569145938,POINT (-117.160033266095 32.716569145938),0.012162070549952168
74,1515,-117.15640722539499,32.716483158647,POINT (-117.156407225395 32.716483158647),0.009799859894393515
75,1517,-117.154534311418,32.71139566948,POINT (-117.154534311418 32.71139566948),0.011889391896472503
76,1719,-117.163686731103,32.712713453377,POINT (-117.163686731103 32.712713453377),0.00451049662164707
77,1720,-117.16374975981701,32.715531863101,POINT (-117.163749759817 32.715531863101),0.007702795332826141
78,1721,-117.163755032416,32.724319926339,POINT (-117.163755032416 32.724319926339),0.00018228793961900315
79,1727,-117.160051613269,32.71803122006,POINT (-117.160051613269 32.71803122006),0.007867005129673012
80,1728,-117.160150037634,32.721265495104,POINT (-117.160150037634 32.721265495104),0.0038657095294410086
81,1731,-117.16014242458901,32.727455206189,POINT (-117.160142424589 32.727455206189),0.0
82,1735,-117.15459027831498,32.71399810032,POINT (-117.154590278315 32.71399810032),0.011155720602303456
83,1736,-117.15456565743999,32.716351007759,POINT (-117.15456565744 32.716351007759),0.008331010794157746
84,1738,-117.153633691413,32.718048174791,POINT (-117.153633691413 32.718048174791),0.0032570787227792133
85,1743,-117.15017610073299,32.725865490612996,POINT (-117.150176100733 32.725865490613),0.0
86,1941,-117.153815197013,32.720529301614,POINT (-117.153815197013 32.720529301614),0.0011223513637698954
87,1945,-117.15339889018,32.720834138249,POINT (-117.15339889018 32.720834138249),0.0006312284851269613
88,2015,-117.157323041294,32.715782150257,POINT (-117.157323041294 32.715782150257),0.010018304119556785
89,2016,-117.160051002539,32.715767823231,POINT (-117.160051002539 32.715767823231),0.010619402366730191
90,2017,-117.162793828551,32.715776138519004,POINT (-117.162793828551 32.715776138519),0.007323154334611358
91,2018,-117.16393305117701,32.715649790539,POINT (-117.163933051177 32.715649790539),0.0072493352516251495
92,2019,-117.156629823642,32.715650372131,POINT (-117.156629823642 32.715650372131),0.009872172465482046
93,2104,-117.169289598526,32.722178934725,POINT (-117.169289598526 32.722178934725),0.0004022386766799491
94,2509,-117.15988741430901,32.717873017694004,POINT (-117.159887414309 32.717873017694),0.0076395218331236775
95,3112,-117.15015267632,32.70415241955,POINT (-117.15015267632 32.70415241955),0.0065201834931491376
96,3146,-117.14988912853902,32.704129606437995,POINT (-117.149889128539 32.70412960643799),0.0065201834931491376
97,3389,-117.163710272866,32.716866284759,POINT (-117.163710272866 32.716866284759),0.010226202761436308
98,3532,-117.15289674263398,32.706094795926,POINT (-117.152896742634 32.706094795926),0.012157551014259135
99,3625,-117.16989795174801,32.72149386633,POINT (-117.169897951748 32.72149386633),0.00042483635514511476
100,3626,-117.16998502441,32.721362937207,POINT (-117.16998502441 32.721362937207),0.0006056177828664402
101,3627,-117.16986094382901,32.717324917628005,POINT (-117.169860943829 32.71732491762801),0.002827722831941065
102,3628,-117.16977900042801,32.717323879643004,POINT (-117.169779000428 32.717323879643),0.002827722831941065
103,3629,-117.16881106644699,32.716385879574,POINT (-117.168811066447 32.716385879574),0.003760253696603569
104,3630,-117.16881390409901,32.716626903293,POINT (-117.168813904099 32.716626903293),0.004835903191545456
105,3631,-117.16247089504401,32.71670999973,POINT (-117.162470895044 32.71670999973),0.009989680393500908
106,3632,-117.162428955368,32.71677297614,POINT (-117.162428955368 32.71677297614),0.009989680393500908
107,3633,-117.15967790667,32.716789999486,POINT (-117.15967790667 32.716789999486),0.010708286568693177
108,3634,-117.15972014222,32.716723998477995,POINT (-117.15972014222 32.716723998478),0.011499205314973974
109,3635,-117.154172920554,32.716289022674,POINT (-117.154172920554 32.716289022674),0.007665132535384199
110,3636,-117.15422206039699,32.716230119095,POINT (-117.154222060397 32.716230119095),0.007665132535384199
111,3637,-117.15372102845801,32.7110599917,POINT (-117.153721028458 32.7110599917),0.017181768193014306
112,3638,-117.153800870071,32.710920057038,POINT (-117.153800870071 32.710920057038),0.01741527753715435
113,3639,-117.16845215981701,32.711739988057,POINT (-117.168452159817 32.711739988057),0.0007487364131458228
114,3640,-117.16862003460301,32.71200094613,POINT (-117.168620034603 32.71200094613),0.0007773601392016994
115,3641,-117.16346306175699,32.708980978579,POINT (-117.163463061757 32.708980978579),0.0029060614506203064
116,3642,-117.16331997478599,32.708819876008,POINT (-117.163319974786 32.708819876008),0.0029060614506203064
117,3643,-117.159762880959,32.706941998119,POINT (-117.159762880959 32.706941998119),0.0025791483688242427
118,3644,-117.159599160461,32.706765102154996,POINT (-117.159599160461 32.706765102155),0.0025791483688242427
119,3645,-117.15389991339599,32.705234034133,POINT (-117.153899913396 32.705234034133),0.004159479349488163
120,3646,-117.153217902166,32.705870089517,POINT (-117.153217902166 32.705870089517),0.008683534578214332
121,3647,-117.153325933377,32.705784918918,POINT (-117.153325933377 32.705784918918),0.0070715668476991796
122,3652,-117.16602361347601,32.716715547109,POINT (-117.166023613476 32.716715547109),0.006291193684702125
123,3669,-117.15235167210699,32.705501259118,POINT (-117.152351672107 32.705501259118),0.012220824513961599
124,3781,-117.153224633839,32.706051167131,POINT (-117.153224633839 32.706051167131),0.008683534578214332
125,3782,-117.15294696424499,32.705602444642,POINT (-117.152946964245 32.705602444642),0.007264400370601927
126,3786,-117.15384694106001,32.716015461365,POINT (-117.15384694106 32.716015461365),0.008373193127292722
127,3851,-117.16474714413201,32.713706052125,POINT (-117.164747144132 32.713706052125),0.004010334671618069
128,3859,-117.17181598862,32.720002493317,POINT (-117.17181598862 32.720002493317),0.0003901865814985274
129,4037,-117.155069805375,32.707505344305,POINT (-117.155069805375 32.707505344305),0.007964928403022063
130,4038,-117.15522004677901,32.706940246872,POINT (-117.155220046779 32.706940246872),0.006957071943475674
131,4039,-117.15449964415001,32.708334081085,POINT (-117.15449964415 32.708334081085),0.010566674450311472
132,4042,-117.172043536833,32.724348946692,POINT (-117.172043536833 32.724348946692),0.0
133,4043,-117.17085888153099,32.716153473998,POINT (-117.170858881531 32.716153473998),0.0012037030062444919
134,4044,-117.170472688688,32.715598408034,POINT (-117.170472688688 32.715598408034),0.0012037030062444919
135,4049,-117.164804781652,32.715813735619996,POINT (-117.164804781652 32.71581373562),0.007184555240025008
136,4103,-117.16374929409001,32.715926003579,POINT (-117.16374929409 32.715926003579),0.007752510225449505
137,4242,-117.154062897256,32.715832476713,POINT (-117.154062897256 32.715832476713),0.008323478234669359
138,4243,-117.154586996861,32.716529504579,POINT (-117.154586996861 32.716529504579),0.007139359883094677
139,4250,-117.17298083282,32.716357493761,POINT (-117.17298083282 32.716357493761),0.0005995917352757293
140,4257,-117.154585952067,32.717694881682,POINT (-117.154585952067 32.717694881682),0.005098036261741377
141,4301,-117.156408158873,32.716257773705,POINT (-117.156408158873 32.716257773705),0.009858613858402946
142,4306,-117.1734067,32.71603823,POINT (-117.1734067 32.71603823),0.000376627974419428
143,4307,-117.16155069999999,32.70453869,POINT (-117.1615507 32.70453869),0.0007698275797133108
144,4328,-117.156463848676,32.716930750155,POINT (-117.156463848676 32.716930750155),0.008653404340260778
145,4357,-117.169297966234,32.717058386301,POINT (-117.169297966234 32.717058386301),0.0044231189315817624
146,4361,-117.168175587876,32.716992537098996,POINT (-117.168175587876 32.716992537099),0.005271285129974314
147,4365,-117.17282838880399,32.721050353285996,POINT (-117.172828388804 32.721050353286),0.0
148,4383,-117.159690417208,32.716742083068,POINT (-117.159690417208 32.716742083068),0.011499205314973974
149,4387,-117.168354508931,32.717002199043,POINT (-117.168354508931 32.717002199043),0.005271285129974314
150,4394,-117.153939218759,32.715819640681,POINT (-117.153939218759 32.715819640681),0.008810081577619259
151,4395,-117.16245301595801,32.716647465872,POINT (-117.162453015958 32.716647465872),0.009989680393500908
152,4396,-117.1699468899,32.721291760208004,POINT (-117.1699468899 32.721291760208),0.0006056177828664402
153,4397,-117.163564381008,32.709064332599,POINT (-117.163564381008 32.709064332599),0.0029060614506203064
154,4403,-117.159474286392,32.706824291627996,POINT (-117.159474286392 32.706824291628),0.0025957199996986978
155,4409,-117.152874989383,32.705684877267,POINT (-117.152874989383 32.705684877267),0.008663949923544521
156,4413,-117.153992832921,32.711537065341,POINT (-117.153992832921 32.711537065341),0.01436609745625466
157,4427,-117.168758602322,32.712101334147,POINT (-117.168758602322 32.712101334147),0.0007758536273040216
158,4428,-117.16996487765199,32.717003115711,POINT (-117.169964877652 32.717003115711),0.002827722831941065
