OBJECTID,APN,APN_8,PARCELID,FRACTINT,LEGLDESC,ASR_LAND,ASR_IMPR,ASR_TOTAL,DOCTYPE,DOCNMBR,DOCDATE,ACREAGE,TAXSTAT,OWNEROCC,TRANUM,ASR_ZONE,UNITQTY,SUBMAP,SUBNAME,BEDROOMS,BATHS,POOL,PAR_VIEW,SITUS_ZIP,X_COORD,Y_COORD,SUB_TYPE,MULTI,Shape_Length,Shape_Area,SITUS_JURI,SITUS_STRE,SITUS_SUFF,SITUS_POST,SITUS_PRE_,SITUS_ADDR,SITUS_FRAC,SITUS_BUIL,SITUS_SUIT,ASR_LANDUS,NUCLEUS_ZO,NUCLEUS_US,SITUS_COMM,YEAR_EFFEC,TOTAL_LVG_,ADDITION_A,GARAGE_CON,GARAGE_STA,CARPORT_ST,USABLE_SQ_,QUAL_CLASS,NUCLEUS_SI,NUCLEUS__1,NUCLEUS__2,OVERLAY_JU,SHAPE_STAr,SHAPE_STLe
6340,5332311743,53323117,258425,1,PAR 1*US L43PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,215478,522532,738010,1,342836,081114,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,020, ,Y,92101-2554,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,513,17,10,171,SAN DIEGO,03,1692,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
17369,5335900100,53359001,239078,1,PAR PER ROS 6194 IN\,0,0,0,0,202239,123066,16.62,N, ,08242,0,0,MM0018,MUNICIPAL TIDELANDS, , , , ,92101-2429,6278079.2825,1843730.6915,1,N,4024.2458471025143,722925.037023544,SD,PACIFIC,HWY, , ,1600, , , ,0,00,000,SAN DIEGO, ,0,0, , , , , ,1600,0, ,SD,722924.842773,4024.24525873
21148,5332131700,53321317,5034,1,BLK I\,0,0,0,1,802207,121592,0,N, ,08242,0,0,CC1-1874,MIDDLETOWN, , , , , ,6278574.88262,1844411.28395,1,N,959.4650699823683,10910.428632604317,SD, , , , ,0, , , ,0,00,000,SAN DIEGO, ,0,0, , , , , ,0,0, ,SD,10910.3632813,959.464912627
28074,5332311714,53323117,258425,1,PAR 1*US L14PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,215478,469741,685219,2,545401,112217,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,020, ,N,92101-2552,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,103,17,10,171,SAN DIEGO,03,1365,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
29250,5332311625,53323116,258425,1,PAR 1*US T25PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,150207,466444,616651,1,203250,042916,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,020, ,N,92101-2548,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,202,17,10,171,SAN DIEGO,03,1186,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
29253,5332311722,53323117,258425,1,PAR 1*US L22PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,123339,372331,495670,1,504045,103017,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,001,015, ,N,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,310,17,10,171,SAN DIEGO,03,1133,0,N,001, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
31503,5332311766,53323117,258425,1,PAR 1*US L66PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,176000,544000,720000,3,903310,042418,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,001,020, ,Y,92101-2554,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,805,17,10,171,SAN DIEGO,03,1434,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
46075,5332120500,53321205,722777,1,BLK 41*LOTS 1 THRU 6*PAR A1 PER DOC88-673763 IN\,0,0,0,2,673763,122988,0,N, ,08242,0,0,CC1-1874,MIDDLETOWN, , , , , ,6278596.42904,1844666.9298,1,N,526.2510565314325,2915.68838061835,SD, , , , ,0, , , ,0,00,000,SAN DIEGO, ,0,0, , , , , ,0,0, ,SD,2915.69140625,526.250742475
51839,5332311641,53323116,258425,1,PAR 1*US T43PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,510000,255000,765000,1,006392,010518,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2550,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,411,17,10,171,SAN DIEGO,03,1223,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
51841,5332311749,53323117,258425,1,PAR 1*US L49PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,112000,398000,510000,1,330057,060612,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,010, ,Y,92101-2554,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,702,17,10,171,SAN DIEGO,03,916,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
